date,    spx
30-Jun-86,   250.84
01-Jul-86,   252.04
02-Jul-86,   252.70
03-Jul-86,   251.79
07-Jul-86,   244.05
08-Jul-86,   241.59
09-Jul-86,   242.82
10-Jul-86,   243.01
11-Jul-86,   242.22
14-Jul-86,   238.11
15-Jul-86,   233.66
16-Jul-86,   235.01
17-Jul-86,   236.07
18-Jul-86,   236.36
21-Jul-86,   236.24
22-Jul-86,   238.18
23-Jul-86,   238.67
24-Jul-86,   237.95
25-Jul-86,   240.22
28-Jul-86,   236.01
29-Jul-86,   234.55
30-Jul-86,   236.59
31-Jul-86,   236.12
01-Aug-86,   234.91
04-Aug-86,   235.99
05-Aug-86,   237.03
06-Aug-86,   236.84
07-Aug-86,   237.04
08-Aug-86,   236.88
11-Aug-86,   240.68
12-Aug-86,   243.34
13-Aug-86,   245.67
14-Aug-86,   246.25
15-Aug-86,   247.15
18-Aug-86,   247.38
19-Aug-86,   246.51
20-Aug-86,   249.77
21-Aug-86,   249.67
22-Aug-86,   250.19
25-Aug-86,   247.81
26-Aug-86,   252.84
27-Aug-86,   253.30
28-Aug-86,   252.84
29-Aug-86,   252.93
02-Sep-86,   248.52
03-Sep-86,   250.08
04-Sep-86,   253.83
05-Sep-86,   250.47
08-Sep-86,   248.14
09-Sep-86,   247.67
10-Sep-86,   247.06
11-Sep-86,   235.18
12-Sep-86,   230.67
15-Sep-86,   231.94
16-Sep-86,   231.72
17-Sep-86,   231.68
18-Sep-86,   232.31
19-Sep-86,   232.21
22-Sep-86,   234.93
23-Sep-86,   235.67
24-Sep-86,   236.28
25-Sep-86,   231.83
26-Sep-86,   232.23
29-Sep-86,   229.91
30-Sep-86,   231.32
01-Oct-86,   233.60
02-Oct-86,   233.92
03-Oct-86,   233.71
06-Oct-86,   234.78
07-Oct-86,   234.41
08-Oct-86,   236.68
09-Oct-86,   235.85
10-Oct-86,   235.48
13-Oct-86,   235.91
14-Oct-86,   235.37
15-Oct-86,   238.80
16-Oct-86,   239.53
17-Oct-86,   238.84
20-Oct-86,   235.97
21-Oct-86,   235.88
22-Oct-86,   236.26
23-Oct-86,   239.28
24-Oct-86,   238.26
27-Oct-86,   238.77
28-Oct-86,   239.26
29-Oct-86,   240.94
30-Oct-86,   243.71
31-Oct-86,   243.98
03-Nov-86,   245.80
04-Nov-86,   246.20
05-Nov-86,   246.58
06-Nov-86,   245.87
07-Nov-86,   245.77
10-Nov-86,   246.13
11-Nov-86,   247.08
12-Nov-86,   246.64
13-Nov-86,   243.02
14-Nov-86,   244.50
17-Nov-86,   243.21
18-Nov-86,   236.78
19-Nov-86,   237.66
20-Nov-86,   242.05
21-Nov-86,   245.86
24-Nov-86,   247.45
25-Nov-86,   248.17
26-Nov-86,   248.77
28-Nov-86,   249.22
01-Dec-86,   249.05
02-Dec-86,   254.00
03-Dec-86,   253.85
04-Dec-86,   253.04
05-Dec-86,   251.17
08-Dec-86,   251.16
09-Dec-86,   249.28
10-Dec-86,   250.96
11-Dec-86,   248.17
12-Dec-86,   247.35
15-Dec-86,   248.21
16-Dec-86,   250.04
17-Dec-86,   247.56
18-Dec-86,   246.78
19-Dec-86,   249.73
22-Dec-86,   248.75
23-Dec-86,   246.34
24-Dec-86,   246.75
26-Dec-86,   246.92
29-Dec-86,   244.67
30-Dec-86,   243.37
31-Dec-86,   242.17
02-Jan-87,   246.45
05-Jan-87,   252.19
06-Jan-87,   252.78
07-Jan-87,   255.33
08-Jan-87,   257.28
09-Jan-87,   258.73
12-Jan-87,   260.30
13-Jan-87,   259.95
14-Jan-87,   262.64
15-Jan-87,   265.49
16-Jan-87,   266.28
19-Jan-87,   269.34
20-Jan-87,   269.04
21-Jan-87,   267.84
22-Jan-87,   273.91
23-Jan-87,   270.10
26-Jan-87,   269.61
27-Jan-87,   273.75
28-Jan-87,   275.40
29-Jan-87,   274.24
30-Jan-87,   274.08
02-Feb-87,   276.45
03-Feb-87,   275.99
04-Feb-87,   279.64
05-Feb-87,   281.16
06-Feb-87,   280.04
09-Feb-87,   278.16
10-Feb-87,   275.07
11-Feb-87,   277.54
12-Feb-87,   275.62
13-Feb-87,   279.70
17-Feb-87,   285.49
18-Feb-87,   285.42
19-Feb-87,   285.57
20-Feb-87,   285.48
23-Feb-87,   282.38
24-Feb-87,   282.88
25-Feb-87,   284.00
26-Feb-87,   282.96
27-Feb-87,   284.20
02-Mar-87,   283.00
03-Mar-87,   284.12
04-Mar-87,   288.62
05-Mar-87,   290.52
06-Mar-87,   290.66
09-Mar-87,   288.30
10-Mar-87,   290.86
11-Mar-87,   290.31
12-Mar-87,   291.22
13-Mar-87,   289.89
16-Mar-87,   288.23
17-Mar-87,   292.47
18-Mar-87,   292.78
19-Mar-87,   294.08
20-Mar-87,   298.17
23-Mar-87,   301.16
24-Mar-87,   301.64
25-Mar-87,   300.38
26-Mar-87,   300.93
27-Mar-87,   296.13
30-Mar-87,   289.20
31-Mar-87,   291.70
01-Apr-87,   292.39
02-Apr-87,   293.63
03-Apr-87,   300.41
06-Apr-87,   301.95
07-Apr-87,   296.69
08-Apr-87,   297.26
09-Apr-87,   292.86
10-Apr-87,   292.49
13-Apr-87,   285.62
14-Apr-87,   279.16
15-Apr-87,   284.44
16-Apr-87,   286.91
20-Apr-87,   286.09
21-Apr-87,   293.07
22-Apr-87,   287.19
23-Apr-87,   286.82
24-Apr-87,   281.52
27-Apr-87,   281.83
28-Apr-87,   282.51
29-Apr-87,   284.57
30-Apr-87,   288.36
01-May-87,   288.03
04-May-87,   289.36
05-May-87,   295.34
06-May-87,   295.47
07-May-87,   294.71
08-May-87,   293.37
11-May-87,   291.57
12-May-87,   293.30
13-May-87,   293.98
14-May-87,   294.24
15-May-87,   287.43
18-May-87,   286.65
19-May-87,   279.62
20-May-87,   278.21
21-May-87,   280.17
22-May-87,   282.16
26-May-87,   289.11
27-May-87,   288.73
28-May-87,   290.76
29-May-87,   290.10
01-Jun-87,   289.83
02-Jun-87,   288.46
03-Jun-87,   293.47
04-Jun-87,   295.09
05-Jun-87,   293.45
08-Jun-87,   296.72
09-Jun-87,   297.28
10-Jun-87,   297.47
11-Jun-87,   298.73
12-Jun-87,   301.62
15-Jun-87,   303.14
16-Jun-87,   304.76
17-Jun-87,   304.81
18-Jun-87,   305.69
19-Jun-87,   306.97
22-Jun-87,   309.65
23-Jun-87,   308.43
24-Jun-87,   306.86
25-Jun-87,   308.96
26-Jun-87,   307.16
29-Jun-87,   307.90
30-Jun-87,   304.00
01-Jul-87,   302.94
02-Jul-87,   305.63
06-Jul-87,   304.92
07-Jul-87,   307.40
08-Jul-87,   308.29
09-Jul-87,   307.52
10-Jul-87,   308.37
13-Jul-87,   307.63
14-Jul-87,   310.68
15-Jul-87,   310.42
16-Jul-87,   312.70
17-Jul-87,   314.59
20-Jul-87,   311.39
21-Jul-87,   308.55
22-Jul-87,   308.47
23-Jul-87,   307.81
24-Jul-87,   309.27
27-Jul-87,   310.65
28-Jul-87,   312.33
29-Jul-87,   315.65
30-Jul-87,   318.05
31-Jul-87,   318.66
03-Aug-87,   317.57
04-Aug-87,   316.23
05-Aug-87,   318.45
06-Aug-87,   322.09
07-Aug-87,   323.00
10-Aug-87,   328.00
11-Aug-87,   333.33
12-Aug-87,   332.39
13-Aug-87,   334.65
14-Aug-87,   333.99
17-Aug-87,   334.11
18-Aug-87,   329.25
19-Aug-87,   329.83
20-Aug-87,   334.84
21-Aug-87,   335.90
24-Aug-87,   333.33
25-Aug-87,   336.77
26-Aug-87,   334.57
27-Aug-87,   331.38
28-Aug-87,   327.04
31-Aug-87,   329.80
01-Sep-87,   323.40
02-Sep-87,   321.68
03-Sep-87,   320.21
04-Sep-87,   316.70
08-Sep-87,   313.56
09-Sep-87,   313.92
10-Sep-87,   317.13
11-Sep-87,   321.98
14-Sep-87,   323.08
15-Sep-87,   317.74
16-Sep-87,   314.86
17-Sep-87,   314.93
18-Sep-87,   314.86
21-Sep-87,   310.54
22-Sep-87,   319.50
23-Sep-87,   321.19
24-Sep-87,   319.72
25-Sep-87,   320.16
28-Sep-87,   323.20
29-Sep-87,   321.69
30-Sep-87,   321.83
01-Oct-87,   327.33
02-Oct-87,   328.07
05-Oct-87,   328.08
06-Oct-87,   319.22
07-Oct-87,   318.52
08-Oct-87,   314.16
09-Oct-87,   311.07
12-Oct-87,   309.39
13-Oct-87,   314.52
14-Oct-87,   305.23
15-Oct-87,   298.08
16-Oct-87,   282.70
19-Oct-87,   224.84
20-Oct-87,   236.83
21-Oct-87,   258.38
22-Oct-87,   248.25
23-Oct-87,   248.22
26-Oct-87,   227.67
27-Oct-87,   233.19
28-Oct-87,   233.28
29-Oct-87,   244.77
30-Oct-87,   251.79
02-Nov-87,   255.75
03-Nov-87,   250.82
04-Nov-87,   248.96
05-Nov-87,   254.48
06-Nov-87,   250.41
09-Nov-87,   243.17
10-Nov-87,   239.00
11-Nov-87,   241.90
12-Nov-87,   248.52
13-Nov-87,   245.64
16-Nov-87,   246.76
17-Nov-87,   243.04
18-Nov-87,   245.55
19-Nov-87,   240.05
20-Nov-87,   242.00
23-Nov-87,   242.99
24-Nov-87,   246.39
25-Nov-87,   244.10
27-Nov-87,   240.34
30-Nov-87,   230.30
01-Dec-87,   232.00
02-Dec-87,   233.45
03-Dec-87,   225.21
04-Dec-87,   223.92
07-Dec-87,   228.76
08-Dec-87,   234.91
09-Dec-87,   238.89
10-Dec-87,   233.57
11-Dec-87,   235.32
14-Dec-87,   242.19
15-Dec-87,   242.80
16-Dec-87,   248.08
17-Dec-87,   242.98
18-Dec-87,   249.16
21-Dec-87,   249.54
22-Dec-87,   249.95
23-Dec-87,   253.16
24-Dec-87,   252.02
28-Dec-87,   245.57
29-Dec-87,   244.59
30-Dec-87,   247.86
31-Dec-87,   247.08
4-Jan-1988,  255.94
5-Jan-1988,  258.63
6-Jan-1988,  258.89
7-Jan-1988,  261.07
8-Jan-1988,  243.40
11-Jan-1988, 247.49
12-Jan-1988, 245.42
13-Jan-1988, 245.81
14-Jan-1988, 245.88
15-Jan-1988, 252.05
18-Jan-1988, 251.88
19-Jan-1988, 249.32
20-Jan-1988, 242.63
21-Jan-1988, 243.14
22-Jan-1988, 246.50
25-Jan-1988, 252.17
26-Jan-1988, 249.57
27-Jan-1988, 249.38
28-Jan-1988, 253.29
29-Jan-1988, 257.07
1-Feb-1988,  255.04
2-Feb-1988,  255.57
3-Feb-1988,  252.21
4-Feb-1988,  252.21
5-Feb-1988,  250.96
8-Feb-1988,  249.10
9-Feb-1988,  251.72
10-Feb-1988, 256.66
11-Feb-1988, 255.95
12-Feb-1988, 257.63
16-Feb-1988, 259.83
17-Feb-1988, 259.21
18-Feb-1988, 257.91
19-Feb-1988, 261.61
22-Feb-1988, 265.64
23-Feb-1988, 265.02
24-Feb-1988, 264.43
25-Feb-1988, 261.58
26-Feb-1988, 262.46
29-Feb-1988, 267.82
1-Mar-1988,  267.22
2-Mar-1988,  267.98
3-Mar-1988,  267.88
4-Mar-1988,  267.30
7-Mar-1988,  267.38
8-Mar-1988,  269.43
9-Mar-1988,  269.06
10-Mar-1988, 263.84
11-Mar-1988, 264.94
